,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration
178,2010-06-28 00:00:00+00:00,33.75,27.0,29.862501,39.538376,31.446106,34.686947,0,0,46407.53
179,2010-06-29 00:00:00+00:00,34.8,26.9,30.137499,43.038506,31.083076,35.012455,0,0,46400.574
180,2010-06-30 00:00:00+00:00,34.05,26.9,29.989586,38.889565,30.920189,34.496212,0,0,46392.742
181,2010-07-01 00:00:00+00:00,32.1,26.25,28.752083,35.94367,30.208458,32.304024,0,0,46384.03
182,2010-07-02 00:00:00+00:00,29.95,27.3,28.464584,33.746147,29.696793,31.511879,0,0,46374.453
183,2010-07-03 00:00:00+00:00,33.6,26.45,29.343752,37.477867,29.382366,32.832737,0,0,46364.02
184,2010-07-04 00:00:00+00:00,31.6,26.3,28.612497,35.778503,30.568722,33.076393,0,0,46352.734
185,2010-07-05 00:00:00+00:00,33.65,25.95,28.8125,40.62401,32.15743,34.509396,0,0,46340.582
186,2010-07-06 00:00:00+00:00,31.4,25.65,28.195833,35.85265,30.73207,33.224506,0,0,46327.45
187,2010-07-07 00:00:00+00:00,30.75,25.75,28.272917,35.265095,30.543472,33.088318,0,0,46313.336
188,2010-07-08 00:00:00+00:00,29.2,25.75,27.393753,33.844463,30.603443,32.210857,0,0,46298.27
189,2010-07-09 00:00:00+00:00,31.25,25.5,28.016668,37.987057,30.430016,32.984608,0,0,46282.277
190,2010-07-10 00:00:00+00:00,32.05,25.45,28.360418,38.187653,29.958454,32.708485,0,0,46265.383
191,2010-07-11 00:00:00+00:00,32.95,26.3,29.202085,38.9684,29.932991,33.532337,0,0,46247.63
192,2010-07-12 00:00:00+00:00,33.15,25.0,28.331247,39.300728,28.889053,32.973797,0,0,46229.027
193,2010-07-13 00:00:00+00:00,31.15,25.2,28.452085,36.0154,29.372364,32.45061,0,0,46209.613
194,2010-07-14 00:00:00+00:00,33.55,26.55,29.745834,39.2112,29.294395,33.74479,0,0,46189.41
195,2010-07-15 00:00:00+00:00,33.0,27.65,29.89792,38.872677,29.62732,34.001564,0,0,46168.45
196,2010-07-16 00:00:00+00:00,31.45,25.9,28.300003,37.038715,30.488712,33.07204,0,0,46146.76
197,2010-07-17 00:00:00+00:00,32.2,25.75,27.53125,39.09395,30.340221,32.650555,0,0,46124.363
198,2010-07-18 00:00:00+00:00,30.45,25.75,27.885416,34.887863,30.4883,32.4921,0,0,46101.293
199,2010-07-19 00:00:00+00:00,32.1,25.25,28.204163,36.10776,29.073467,31.928772,0,0,46077.574
200,2010-07-20 00:00:00+00:00,28.55,25.2,26.287498,31.82225,28.648006,29.833906,0,0,46053.227
201,2010-07-21 00:00:00+00:00,29.6,25.2,27.09583,33.82567,29.436977,31.4095,0,0,46028.285
202,2010-07-22 00:00:00+00:00,31.1,25.8,28.29792,34.971333,29.08886,32.145237,0,0,46002.777
203,2010-07-23 00:00:00+00:00,33.5,26.15,29.506248,37.04987,28.658665,32.3365,0,0,45976.727
204,2010-07-24 00:00:00+00:00,32.4,26.85,29.118752,36.12644,28.32246,31.982573,0,0,45950.152
205,2010-07-25 00:00:00+00:00,31.85,26.8,28.925001,36.118374,28.227364,31.292143,0,0,45923.05
206,2010-07-26 00:00:00+00:00,32.25,27.25,29.454165,35.319176,29.071526,31.933859,0,0,45895.176
207,2010-07-27 00:00:00+00:00,33.25,26.6,28.881248,38.271503,29.14125,32.43836,0,0,45866.53
208,2010-07-28 00:00:00+00:00,31.55,25.8,28.525,35.48333,29.117088,31.89546,0,0,45837.15
209,2010-07-29 00:00:00+00:00,31.55,25.3,27.61875,34.593365,28.660545,31.289642,0,0,45807.066
210,2010-07-30 00:00:00+00:00,33.1,25.8,28.752083,37.297607,28.378956,31.86228,0,0,45776.32
211,2010-07-31 00:00:00+00:00,32.1,26.05,29.079165,37.141407,28.923111,32.8472,0,0,45744.95
212,2010-08-01 00:00:00+00:00,32.8,26.35,29.293747,37.599884,28.902645,32.670536,0,0,45712.984
213,2010-08-02 00:00:00+00:00,33.7,26.55,29.493752,37.787056,29.240852,33.027447,0,0,45680.465
214,2010-08-03 00:00:00+00:00,32.4,25.5,28.662504,36.197964,29.437809,31.921396,0,0,45647.43
215,2010-08-04 00:00:00+00:00,31.65,26.85,28.616667,34.642117,29.188263,31.539938,0,0,45613.902
216,2010-08-05 00:00:00+00:00,33.4,26.35,29.395834,38.34132,28.80653,33.089527,0,0,45579.92
217,2010-08-06 00:00:00+00:00,33.15,26.95,29.50625,37.935272,29.917248,33.46036,0,0,45545.527
218,2010-08-07 00:00:00+00:00,33.6,26.2,29.435415,39.214012,30.239586,33.95225,0,0,45510.742
219,2010-08-08 00:00:00+00:00,33.1,26.45,29.225004,39.9151,30.86702,33.8421,0,0,45475.605
220,2010-08-09 00:00:00+00:00,33.95,26.45,29.779165,39.383453,30.224014,33.928104,0,0,45440.15
221,2010-08-10 00:00:00+00:00,33.85,27.4,30.204165,39.446945,30.318249,34.579872,0,0,45404.4
222,2010-08-11 00:00:00+00:00,34.1,27.75,30.170835,39.106514,30.251484,34.411186,0,0,45368.39
223,2010-08-12 00:00:00+00:00,33.3,27.15,29.670835,40.64961,31.251575,34.132046,0,0,45332.156
224,2010-08-13 00:00:00+00:00,31.95,25.25,28.368752,39.264618,29.955486,33.532406,0,0,45295.723
225,2010-08-14 00:00:00+00:00,32.0,25.2,28.487497,39.94483,29.978394,34.106533,0,0,45259.066
226,2010-08-15 00:00:00+00:00,30.6,25.9,27.985418,35.914837,30.688011,32.819046,0,0,45221.92
227,2010-08-16 00:00:00+00:00,30.65,25.85,27.839582,36.588173,29.947334,32.872902,0,0,45184.26
228,2010-08-17 00:00:00+00:00,31.55,25.75,28.020834,39.151844,30.548817,33.778137,0,0,45146.137
229,2010-08-18 00:00:00+00:00,28.55,25.7,27.216667,33.794106,30.477142,31.820383,0,0,45107.56
230,2010-08-19 00:00:00+00:00,31.85,25.7,28.370834,37.633682,30.121796,33.446915,0,0,45068.582
231,2010-08-20 00:00:00+00:00,30.6,24.75,27.277084,38.14814,29.709507,33.174282,0,0,45029.23
232,2010-08-21 00:00:00+00:00,29.45,24.75,26.539583,35.017963,28.521965,31.136175,0,0,44989.535
233,2010-08-22 00:00:00+00:00,30.25,24.95,26.90417,35.124893,28.689667,31.395287,0,0,44949.53
234,2010-08-23 00:00:00+00:00,31.35,25.35,27.941666,35.963524,28.728027,32.55008,0,0,44909.254
235,2010-08-24 00:00:00+00:00,29.6,25.15,27.200003,35.409645,28.717075,31.55182,0,0,44868.723
236,2010-08-25 00:00:00+00:00,26.9,24.9,25.916666,31.20425,28.285656,29.306349,0,0,44827.98
237,2010-08-26 00:00:00+00:00,31.75,25.25,27.88542,37.242767,27.938232,32.520382,0,0,44787.05
238,2010-08-27 00:00:00+00:00,31.8,25.9,28.656248,36.2197,29.316792,32.718517,0,0,44745.965
239,2010-08-28 00:00:00+00:00,31.95,25.6,28.474998,37.990654,29.361885,33.087246,0,0,44704.75
240,2010-08-29 00:00:00+00:00,31.0,25.35,28.154167,35.92287,29.364048,32.365665,0,0,44663.44
